sub,priming,qt,avg,story
sub-01,loc,avg_loc,2.75,31
sub-01,loc,avg_soc,1.25,31
sub-02,loc,avg_loc,1.5,31
sub-02,loc,avg_soc,0.0,31
sub-03,loc,avg_loc,1.25,31
sub-03,loc,avg_soc,0.25,31
sub-04,np,avg_loc,0.0,31
sub-04,np,avg_soc,2.0,31
sub-05,np,avg_loc,2.0,31
sub-05,np,avg_soc,1.5,31
sub-06,np,avg_loc,1.75,31
sub-06,np,avg_soc,2.0,31
sub-08,soc,avg_loc,1.0,31
sub-08,soc,avg_soc,2.75,31
sub-10,loc,avg_loc,1.75,31
sub-10,loc,avg_soc,1.25,31
sub-12,soc,avg_loc,2.5,31
sub-12,soc,avg_soc,2.25,31
sub-13,soc,avg_loc,1.75,31
sub-13,soc,avg_soc,2.0,31
sub-14,soc,avg_loc,0.5,31
sub-14,soc,avg_soc,2.5,31
sub-16,soc,avg_loc,0.0,31
sub-16,soc,avg_soc,0.75,31
sub-17,loc,avg_loc,2.25,31
sub-17,loc,avg_soc,1.5,31
sub-18,np,avg_loc,1.5,31
sub-18,np,avg_soc,2.25,31
sub-20,soc,avg_loc,1.5,31
sub-20,soc,avg_soc,3.0,31
sub-23,soc,avg_loc,0.25,31
sub-23,soc,avg_soc,0.75,31
sub-24,soc,avg_loc,0.0,31
sub-24,soc,avg_soc,1.25,31
sub-25,loc,avg_loc,1.25,31
sub-25,loc,avg_soc,0.25,31
sub-26,loc,avg_loc,0.75,31
sub-26,loc,avg_soc,2.25,31
sub-27,np,avg_loc,0.0,31
sub-27,np,avg_soc,1.25,31
sub-30,soc,avg_loc,1.75,31
sub-30,soc,avg_soc,2.75,31
sub-32,np,avg_loc,0.0,31
sub-32,np,avg_soc,0.5,31
sub-33,loc,avg_loc,2.0,31
sub-33,loc,avg_soc,0.5,31
sub-34,loc,avg_loc,0.5,31
sub-34,loc,avg_soc,1.0,31
sub-35,np,avg_loc,0.0,31
sub-35,np,avg_soc,0.0,31
sub-37,np,avg_loc,0.75,31
sub-37,np,avg_soc,1.25,31
sub-38,np,avg_loc,0.75,31
sub-38,np,avg_soc,0.5,31
sub-01,np,avg_loc,0.5,43
sub-01,np,avg_soc,2.0,43
sub-02,loc,avg_loc,1.25,43
sub-02,loc,avg_soc,1.25,43
sub-03,np,avg_loc,0.5,43
sub-03,np,avg_soc,0.0,43
sub-04,loc,avg_loc,1.75,43
sub-04,loc,avg_soc,1.75,43
sub-05,np,avg_loc,1.0,43
sub-05,np,avg_soc,0.25,43
sub-06,loc,avg_loc,1.0,43
sub-06,loc,avg_soc,0.0,43
sub-07,np,avg_loc,0.0,43
sub-07,np,avg_soc,0.0,43
sub-08,loc,avg_loc,2.25,43
sub-08,loc,avg_soc,1.5,43
sub-10,soc,avg_loc,1.25,43
sub-10,soc,avg_soc,1.75,43
sub-13,loc,avg_loc,0.75,43
sub-13,loc,avg_soc,1.5,43
sub-14,np,avg_loc,0.5,43
sub-14,np,avg_soc,0.0,43
sub-16,soc,avg_loc,0.0,43
sub-16,soc,avg_soc,0.75,43
sub-19,np,avg_loc,1.5,43
sub-19,np,avg_soc,0.25,43
sub-21,soc,avg_loc,0.75,43
sub-21,soc,avg_soc,0.5,43
sub-22,loc,avg_loc,0.5,43
sub-22,loc,avg_soc,1.0,43
sub-23,loc,avg_loc,0.5,43
sub-23,loc,avg_soc,0.75,43
sub-24,loc,avg_loc,0.5,43
sub-24,loc,avg_soc,0.0,43
sub-25,soc,avg_loc,0.5,43
sub-25,soc,avg_soc,0.5,43
sub-26,soc,avg_loc,0.0,43
sub-26,soc,avg_soc,0.0,43
sub-27,soc,avg_loc,0.25,43
sub-27,soc,avg_soc,0.0,43
sub-28,np,avg_loc,0.5,43
sub-28,np,avg_soc,0.5,43
sub-29,np,avg_loc,0.75,43
sub-29,np,avg_soc,1.75,43
sub-30,np,avg_loc,0.75,43
sub-30,np,avg_soc,0.0,43
sub-31,loc,avg_loc,0.0,43
sub-31,loc,avg_soc,0.0,43
sub-32,soc,avg_loc,0.0,43
sub-32,soc,avg_soc,0.0,43
sub-33,soc,avg_loc,0.0,43
sub-33,soc,avg_soc,2.25,43
sub-36,soc,avg_loc,1.25,43
sub-36,soc,avg_soc,1.75,43
sub-04,soc,avg_loc,0.0,21
sub-04,soc,avg_soc,1.0,21
sub-05,soc,avg_loc,1.75,21
sub-05,soc,avg_soc,0.75,21
sub-06,soc,avg_loc,0.0,21
sub-06,soc,avg_soc,1.25,21
sub-07,loc,avg_loc,0.25,21
