sub,priming,qt,avg,story
0,np,avg_loc,0.75,23
0,np,avg_soc,0.75,23
1,np,avg_loc,0.75,23
1,np,avg_soc,0.9,23
2,np,avg_loc,1.75,23
2,np,avg_soc,2.05,23
3,np,avg_loc,1.5,23
3,np,avg_soc,1.75,23
4,np,avg_loc,0.75,23
4,np,avg_soc,1.25,23
5,np,avg_loc,0.875,23
5,np,avg_soc,2.25,23
6,np,avg_loc,1.4375,23
6,np,avg_soc,0.875,23
7,np,avg_loc,1.5,23
7,np,avg_soc,1.5625,23
8,np,avg_loc,0.0,23
8,np,avg_soc,0.375,23
9,np,avg_loc,0.875,23
9,np,avg_soc,1.25,23
10,np,avg_loc,2.2,42
10,np,avg_soc,1.75,42
11,np,avg_loc,0.0,42
11,np,avg_soc,2.0,42
12,np,avg_loc,1.125,42
12,np,avg_soc,0.9375,42
13,np,avg_loc,0.75,42
13,np,avg_soc,1.125,42
14,np,avg_loc,1.4375,42
14,np,avg_soc,1.5,42
15,np,avg_loc,1.75,42
15,np,avg_soc,1.25,42
16,np,avg_loc,1.25,42
16,np,avg_soc,1.0,42
17,np,avg_loc,1.55,14
17,np,avg_soc,2.3,14
18,np,avg_loc,0.7,14
18,np,avg_soc,0.9,14
19,np,avg_loc,0.9375,14
19,np,avg_soc,1.9375,14
20,np,avg_loc,0.3125,14
20,np,avg_soc,1.4375,14
21,np,avg_loc,0.75,14
21,np,avg_soc,1.5,14
22,np,avg_loc,1.125,14
22,np,avg_soc,1.9375,14
23,np,avg_loc,0.75,14
23,np,avg_soc,1.5,14
24,np,avg_loc,1.3,43
24,np,avg_soc,1.4,43
25,np,avg_loc,0.65,43
25,np,avg_soc,0.25,43
26,np,avg_loc,1.375,43
26,np,avg_soc,1.1875,43
27,np,avg_loc,1.4375,43
27,np,avg_soc,0.75,43
28,np,avg_loc,1.3125,43
28,np,avg_soc,0.875,43
29,np,avg_loc,1.6875,43
29,np,avg_soc,0.9375,43
30,np,avg_loc,0.5625,43
30,np,avg_soc,1.4375,43
31,np,avg_loc,1.25,22
31,np,avg_soc,1.65,22
32,np,avg_loc,0.30000000000000004,22
32,np,avg_soc,0.8,22
33,np,avg_loc,0.9,22
33,np,avg_soc,0.25,22
34,np,avg_loc,0.0,22
34,np,avg_soc,0.25,22
35,np,avg_loc,0.5625,22
35,np,avg_soc,0.0,22
36,np,avg_loc,1.25,22
36,np,avg_soc,0.8125,22
37,np,avg_loc,1.0,22
37,np,avg_soc,1.75,22
38,np,avg_loc,1.5,22
38,np,avg_soc,2.0,22
39,np,avg_loc,2.25,22
39,np,avg_soc,2.0,22
40,np,avg_loc,1.25,22
40,np,avg_soc,1.0,22
41,np,avg_loc,1.25,22
41,np,avg_soc,1.5,22
42,np,avg_loc,0.9,34
42,np,avg_soc,1.55,34
43,np,avg_loc,1.2000000000000002,34
43,np,avg_soc,1.6,34
44,np,avg_loc,1.1875,34
44,np,avg_soc,2.0,34
45,np,avg_loc,0.0,34
45,np,avg_soc,0.125,34
46,np,avg_loc,1.25,34
46,np,avg_soc,2.125,34
47,np,avg_loc,0.125,34
47,np,avg_soc,0.1875,34
48,np,avg_loc,0.25,34
48,np,avg_soc,0.0,34
49,np,avg_loc,0.0625,34
49,np,avg_soc,1.5,34
50,np,avg_loc,1.25,44
50,np,avg_soc,2.0,44
51,np,avg_loc,0.25,44
51,np,avg_soc,2.8,44
52,np,avg_loc,0.5625,44
52,np,avg_soc,0.6875,44
53,np,avg_loc,0.9375,44
53,np,avg_soc,2.4375,44
54,np,avg_loc,1.0,44
54,np,avg_soc,1.875,44
55,np,avg_loc,0.3125,44
55,np,avg_soc,0.0,44
56,np,avg_loc,0.875,44
56,np,avg_soc,0.9375,44
57,np,avg_loc,2.1500000000000004,13
57,np,avg_soc,1.85,13
58,np,avg_loc,0.6875,13
58,np,avg_soc,1.875,13
59,np,avg_loc,1.6875,13
59,np,avg_soc,1.4375,13
60,np,avg_loc,1.0,13
60,np,avg_soc,1.1875,13
61,np,avg_loc,0.0625,13
61,np,avg_soc,1.25,13
62,np,avg_loc,2.875,13
62,np,avg_soc,3.0,13
63,np,avg_loc,2.6875,13
63,np,avg_soc,1.8125,13
64,np,avg_loc,2.0625,13
64,np,avg_soc,1.4375,13
65,np,avg_loc,0.75,13
65,np,avg_soc,1.75,13
66,np,avg_loc,2.0,13
66,np,avg_soc,1.5625,13
67,np,avg_loc,1.75,13
67,np,avg_soc,1.25,13
68,np,avg_loc,1.4375,13
68,np,avg_soc,2.125,13
69,np,avg_loc,1.25,33
69,np,avg_soc,0.25,33
70,np,avg_loc,2.4,33
70,np,avg_soc,1.35,33
71,np,avg_loc,1.7999999999999998,33
71,np,avg_soc,1.5,33
72,np,avg_loc,0.5,33
72,np,avg_soc,0.25,33
73,np,avg_loc,2.25,33
73,np,avg_soc,2.375,33
74,np,avg_loc,2.5625,33
74,np,avg_soc,1.375,33
75,np,avg_loc,1.25,33
75,np,avg_soc,0.875,33
76,np,avg_loc,1.25,33
76,np,avg_soc,0.5,33
77,np,avg_loc,0.9375,24
77,np,avg_soc,0.0,24
78,np,avg_loc,1.875,24
78,np,avg_soc,2.25,24
79,np,avg_loc,0.5,24
79,np,avg_soc,3.0,24
80,np,avg_loc,0.6875,24
80,np,avg_soc,1.5,24
81,np,avg_loc,0.25,24
81,np,avg_soc,0.75,24
82,np,avg_loc,0.9375,24
82,np,avg_soc,1.3125,24
83,np,avg_loc,0.3125,24
83,np,avg_soc,0.75,24
84,np,avg_loc,1.05,32
84,np,avg_soc,2.1,32
85,np,avg_loc,1.2,32
85,np,avg_soc,2.85,32
86,np,avg_loc,1.1875,32
86,np,avg_soc,0.0625,32
87,np,avg_loc,0.0,32
87,np,avg_soc,0.125,32
88,np,avg_loc,0.75,32
88,np,avg_soc,1.0625,32
89,np,avg_loc,1.9375,32
89,np,avg_soc,2.125,32
90,np,avg_loc,0.5,32
90,np,avg_soc,1.5,32
91,np,avg_loc,0.0,32
91,np,avg_soc,0.75,32
92,np,avg_loc,0.1,12
92,np,avg_soc,0.0,12
93,np,avg_loc,1.25,12
93,np,avg_soc,1.5,12
94,np,avg_loc,0.5,12
94,np,avg_soc,0.875,12
95,np,avg_loc,0.875,12
95,np,avg_soc,0.3125,12
96,np,avg_loc,0.0,12
96,np,avg_soc,0.875,12
97,np,avg_loc,1.625,12
97,np,avg_soc,1.25,12
98,np,avg_loc,1.0625,12
98,np,avg_soc,1.6875,12
99,np,avg_loc,0.0625,12
99,np,avg_soc,0.0,12
100,np,avg_loc,0.4375,12
100,np,avg_soc,0.75,12
101,np,avg_loc,0.625,12
101,np,avg_soc,1.0,12
102,np,avg_loc,0.125,12
102,np,avg_soc,1.875,12
103,np,avg_loc,0.625,12
103,np,avg_soc,1.3125,12
104,np,avg_loc,0.9375,12
104,np,avg_soc,1.5,12
105,np,avg_loc,1.0,12
105,np,avg_soc,1.375,12
106,np,avg_loc,1.35,11
106,np,avg_soc,1.5,11
107,np,avg_loc,1.7,11
107,np,avg_soc,1.65,11
108,np,avg_loc,1.0,11
108,np,avg_soc,1.5,11
109,np,avg_loc,1.375,11
109,np,avg_soc,2.25,11
110,np,avg_loc,0.25,11
110,np,avg_soc,1.0625,11
111,np,avg_loc,1.6666666666666667,11
111,np,avg_soc,1.3333333333333335,11
112,np,avg_loc,1.25,11
112,np,avg_soc,2.1875,11
113,np,avg_loc,2.375,11
113,np,avg_soc,2.375,11
114,np,avg_loc,1.5,11
114,np,avg_soc,0.9375,11
115,np,avg_loc,0.0,11
115,np,avg_soc,0.375,11
116,np,avg_loc,0.3125,11
116,np,avg_soc,0.875,11
117,np,avg_loc,0.0,11
117,np,avg_soc,0.75,11
118,np,avg_loc,0.25,11
118,np,avg_soc,0.375,11
119,np,avg_loc,0.75,31
119,np,avg_soc,2.1,31
120,np,avg_loc,1.3125,31
120,np,avg_soc,0.8125,31
121,np,avg_loc,0.625,31
121,np,avg_soc,0.25,31
122,np,avg_loc,1.0625,31
122,np,avg_soc,0.4375,31
123,np,avg_loc,1.4375,31
123,np,avg_soc,2.0625,31
124,np,avg_loc,1.5625,31
124,np,avg_soc,1.625,31
125,np,avg_loc,0.875,31
125,np,avg_soc,0.5,31
126,np,avg_loc,1.5625,21
126,np,avg_soc,2.5,21
127,np,avg_loc,1.3125,21
127,np,avg_soc,1.4375,21
128,np,avg_loc,0.25,21
128,np,avg_soc,0.0,21
129,np,avg_loc,0.25,21
129,np,avg_soc,0.6875,21
130,np,avg_loc,0.1875,21
130,np,avg_soc,1.4375,21
131,np,avg_loc,0.9375,21
131,np,avg_soc,2.0625,21
132,np,avg_loc,0.6875,21
132,np,avg_soc,0.75,21
133,np,avg_loc,1.0,21
133,np,avg_soc,1.4375,21
134,np,avg_loc,1.75,41
134,np,avg_soc,2.6875,41
135,np,avg_loc,1.3125,41
135,np,avg_soc,1.5,41
136,np,avg_loc,0.375,41
136,np,avg_soc,0.1875,41
137,np,avg_loc,0.0,41
137,np,avg_soc,0.75,41
138,np,avg_loc,0.6875,41
138,np,avg_soc,1.0,41
139,np,avg_loc,1.8125,41
139,np,avg_soc,1.0,41
140,loc,avg_loc,0.75,23
140,loc,avg_soc,2.0,23
141,loc,avg_loc,1.3,23
141,loc,avg_soc,1.65,23
142,loc,avg_loc,0.15,23
142,loc,avg_soc,1.7,23
143,loc,avg_loc,1.5,23
143,loc,avg_soc,1.25,23
144,loc,avg_loc,1.625,23
144,loc,avg_soc,2.0625,23
145,loc,avg_loc,0.25,23
145,loc,avg_soc,1.5,23
146,loc,avg_loc,1.0,42
146,loc,avg_soc,1.25,42
147,loc,avg_loc,2.1,42
147,loc,avg_soc,1.8,42
148,loc,avg_loc,1.3,42
148,loc,avg_soc,0.5,42
149,loc,avg_loc,2.5,42
149,loc,avg_soc,0.5,42
150,loc,avg_loc,0.875,42
150,loc,avg_soc,0.4375,42
151,loc,avg_loc,3.0,42
151,loc,avg_soc,1.375,42
152,loc,avg_loc,0.5,42
152,loc,avg_soc,1.125,42
153,loc,avg_loc,1.5,42
153,loc,avg_soc,1.5,42
154,loc,avg_loc,0.0,42
154,loc,avg_soc,0.75,42
155,loc,avg_loc,0.375,42
155,loc,avg_soc,0.0,42
156,loc,avg_loc,1.35,14
156,loc,avg_soc,2.6,14
157,loc,avg_loc,0.75,14
