prolific_id,story_presses,story,p_type
5cdeaeb3557fbd00018a2c59,9191191911911111191191199111,44,np
5ea07ccfcc5aed04bc7e4148,91119111111111911191111191111111111911911,11,np
5d0e2a06facd7500197a46e3,119119111119191919919111119191,21,loc
5e84ab6c1c387d0424a1b662,9911911919111199119911119119111,12,soc
5c1cfb57e2d9150001b5975b,911991911199191919911111191911119999919,23,loc
5c4271f51b4bf300018b0920,9111191911191111191191191111,44,np
5d80f95b43119f0015986eb1,91911119119111191991999111999991,33,np
5bc9e924e642db0001d3a1c5,19919999111111991191191119111999,33,soc
5e7b804f9379140478c688da,111111919111111111911111111111,21,soc
5cea26087afd86001a34a5db,111111911111111111119111111111111119111,23,np
597cb71cd4e83700016c35b2,111911911111111111191111111911111111119,23,loc
5eac5376dfc1010c08a633bb,9991191111919111919111191911191,13,soc
5deae08fe4f84020dfafac72,99119911991111999111191191919911,33,np
5e3f032709a1141608164346,91911111111119919111111111911119919,42,loc
58af6fa166d1330001eebaab,91919111191111111111911191111111111111911,11,np
5cc482bd8d2a1e001885c450,91111111111111111191111111111111,33,np
5e70f95a7b8fa90009292b14,111911919119111919111191911,34,loc
5e14da8da29f4b000ccc9b1d,911911911119119191191111911111111,32,np
5ca50e54edf90d0001846c14 ,911111991111111911111111111111111119111,23,soc
5d02c0e382e4f00001aa20cd,91111111111911111191111111111,43,soc
5d4af994c2eac9001a6a7a33,1111111119991911111119911119111111111,41,loc
5e9c9ba01243491be8fe4bdf,9991111119111111111111111119111111911,22,np
5eb5f6d5e38e9f4e6c8dde3f,111111119911111911111111111,34,np
5ccdb020ed1c4f001649810e,9191191911911111991191199111,44,loc
5e0940924cac6822f3574032,9111111111111111111111111191111111911,22,soc
5d4ad488dfd8230018fd0b45,919119999119111191111111911111111,32,loc
5c8a2d11f7ab04001042af3c,11991991111119919191111911111119191,42,soc
5eb2e03e93516108a92d3d96,91119119111919111191191119111,43,np
5d2e1f674819d00019efd516,1119911911111111191191199111,44,soc
5b29a5197297750001c75a5b,19191111119999111191111919111,43,loc
5d4200720eddc0000173e988,1119111119119111111111111111111111111,22,loc
5eb882738aa2327d047dd79b,11919191191119191191119199111191919991199,11,loc
5b4991de56e0140001acb76b,91111111111911111111911111119111,24,soc
 5ea945b5692da4020240a251,11111191191119119111111111911111119,42,loc
5e013bff839079d2336c9b06,111111111111199999111191119111191,14,np
5ec7a3794f89b8205c25fba3,911111919119111919111191911,34,loc
5c17c149f596b100011ca8b8,111119119119991119919111111191,21,loc
5b88,99999111111111111191119111111991,33,np
5d9f8573ce3daf0015e3e400,1199111111111111191111111911119111191,22,np
5ecc7ff92fdab685b971ab4b,919111911119111191191119991111191,32,soc
5e19b97a8a76fb239d3e33d6,911119911191911911919111911919119999911,23,np
5e9375259c9687000b26ec11,91191111119111191191991119199991,24,loc
562a00dac8ffc20012513fbe,99111111111119119999111111991111199,42,loc
5ed9232765948647682f2a62,911911919911199991119199119111911,14,np
5bc690392885710001a0bb76,9911911911191111191911919119191,12,soc
5eb83f00de449a08d23547dd,911911111991191119111199119111191,14,soc
