prolific_id,A1,A2,A3,A4,A5,A6,A7,A8,story,p_type,recall,q1,q2,q3,q4,q5,q6,q7,q8
5cdeaeb3557fbd00018a2c59,"""an eraser""","""are you from la""","""the night for a walk""","""noon""","""big""","""the class is about mummification""","""i do not remember""","""on tuesday""",44,np,"The guy walks into the lecture hall and sees Ariana, and immediately feels like she's very familiar. They all sit down, the professor starts talking about mummification, meanwhile the two start exchanging notes. He asks her if she's from LA, because she looks very familiar. I do not remember how she replies, but this goes on until he asks her to meet the evening for a walk, which she agrees by looking at him and nodding. Meanwhile the professor still teaches his lesson. The period ends, the professor speaks of the assignment about mummification and everyone leaves except the two. I do not remember what they say, except that the guy's conviction is even stronger after he hears her voice.",0.0,1.0,0.0,0.0,3.0,3.0,2.2,3.0
5ea07ccfcc5aed04bc7e4148,""" diner from the eighties, with red leather stools""","""the menus had silly names""","""hamburguer with no tomatoes""","""he didn t liked it""","""3 months""","""he needs more time to organize his life""","""she didn t want to break up because she thought things were fine""","""polaroid camera and a poster""",11,np,"Thomas was waiting for Sadie inside a restaurant, that was similar to a diner from the 80's. He asked the waitress for a table in the back of the restauraunt. Then he said to Sadie that he wanted to break up with her. He wanted more time to organize his life. Right after, the waitress asked them if they had already chosen but they haven't seen the menu yet. She asked the waitress her opinion on a burguer and chose that one, and he chose a hamburguer with no tomato. Once the waitress left, she tried to convince him not to break up  but he had already decided that he wanted to break up. She started crying and some other costumers started looking at them. Then, she stormed off and said she wanted her polaroid camera and her poster. He tried his burguer but wasn't very tasty, and he wondered if the bad taste was due to the restaurant.",1.6,1.8,1.0,1.0,1.6,0.4,2.0,2.0
5d0e2a06facd7500197a46e3,""" With chandeliers and with a nice new onto the pacific ocean.""","""The best menus the chef gives for the day.""","""Onions and something caramelized.""","""They really enjoy the food, Senna even says it tastes like the ocean.""","""For some years.""","""3 diamonds, sometype of green.""","""On a cake.""","""Her dad.""",21,loc,"Senna and his fiancee went to a restaurant to supposably commemorate on the new tomatoes that they grew but Senna's plan was to purpose to her on that day. They ordered what they wanted to eat and they started to talk about how they met and more. Then after they ate the attendant gave Senna's fiancee a cake with the wedding ring on top of it, and thats when Senna purposed to her in which she replied with a ""Yes"" and the other clients started applauding.",2.0,0.8,0.8,1.6,0.0,1.2,3.0,3.0
5e84ab6c1c387d0424a1b662,""" i can t remember""","""i can t remember""","""e23""","""23h 26f""","""6 week ago""","""Jessie think that their personalities are not compatible""","""No""","""Jessia wants her philosophy books back""",12,soc,The couple had just finished the fairs and were at the airport when Jessie say that she wants to end rhe relationship because she thinks their personalities are not compatible. The boyfriend is speechless and continues to walk. When they got on the plane they stayed in separate places but before sitting down Jessie shakes her boyfriend's hand and wishes him a good trip and ends up asking for her philosophy books back,0.0,0.0,0.0,0.2,3.0,3.0,0.0,3.0
5c1cfb57e2d9150001b5975b,""" 23 months""","""one""","""box""","""mother""","""full""","""oranges""","""2""","""14 dollars, cash money""",23,loc,"A couple enters to a grocery store and I think, it's full of people, and the main goal for the man is to purpose for marriage. Then among the people that are buying fruit, he asks her, while their friends are seeing and taking pictures in the background, and she says ""yes"" and all people start filming and taking pictures. Then she calls to her mother. Then they left the grocery store, with 14 dollars (I think) of groceries and paying with cash. Finally they go out wondering where to celebrate.",0.0,0.0,0.0,3.0,3.0,2.0,0.0,3.0
5c4271f51b4bf300018b0920,""" eraser""","""If she was from LA""","""That evening for a walk""","""8 pm""",,"""History, about mummies""","""Mummies""","""A quiz next friday""",44,np,"Leon found a girl he tought he already met before. In the history class he gives her a note to ask if she was from LA. After that he asks her to go walk with him that evening, then their professor tells them they have a quiz next friday about those mummies and she has to leave to go to her next class.",0.0,2.0,0.2,2.8,3.0,3.0,2.0,0.0
5d80f95b43119f0015986eb1,"""Its a big grocery store.""","""Cheese and crackers""","""10 lanes and i dont know which one they step into.""","""23 dollars and they use credit card.""","""Salesperson and cheese seller.""","""20.000 dollars""","""I dont know""","""I dont know""",33,np,"Two women goes into a big grocery store. They chat a little bit at first and then a man tries to sell them cheese/crackers. The two women buys the cheese and crackers in a lane. There were 10 lanes. The things they bought cost 23 dollars. After that, they talked about some deal that were going to make them 20.000 dollars.",0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
5bc9e924e642db0001d3a1c5,""" busy""","""cheese""","""6""","""23 dollars, cheque""","""miss bianchi, miss morrison""","""1500""","""orange grocers""","""bottle of drink""",33,soc,"Miss Bianchi wants to sell cheese from Italy to the store, she offers Miss Morrison to try the cheese and offers to purchase crackers which Miss Morrison picks the bill up for which is also paid by a cheque, they broker a deal which aids the store from paying excess income tax and celebrate the partnership by sharing a drink at the end.",0.0,0.2,2.2,3.0,0.4,3.0,3.0,1.8
5e7b804f9379140478c688da,""" 2 years""","""3""","""on a slice of cake""","""her dad""","""purple stuff and cloths""","""small with no prices""","""scallops with caramalised apple and oysters""","""it was better than they had imagined """,21,soc,"2 people went into a restaurant, the man explained who he was and the waiter winked at him slyly and sat them down, while the women was in the powder room, unaware of what was going on the man was making sure the plans for the evening would run smoothly. 

They received menus that were very small whilst also being very descriptive, but with no price, they ordered, one ordered pan seared scallops with caramelized apple and the other ordered oysters. The women was confused as to why they were out as she thinks the occasion is due to her growing tomatoes. 

After they had their food they both exclaimed how it was even better than they had thought, then the waiter gave presented the women with a slice of cake that had a ring with 3 diamonds on it, and the man said that he'll ""always love her, and never stop loving her"". she said ""yes"" to the proposal and as the restaurant cheered she said that she had to call her dad.",0.6,2.0,2.0,0.8,0.0,1.0,2.8,3.0
5cea26087afd86001a34a5db,""" a year""","""dont know""","""band""","""mum""","""no idea""","""pumpkin ""","""no idea""","""12 cash""",23,np,"There was a grocery store and it was the day before thanksgiving. He wanted to propose to his girlfriend, chloe (?). They walked around the store, he was sweaty and nervous. she was choosing items for thanksgiving. He turned around and got the ring out and they went to the check out. Their friends were waiting outside and started to come towards them. He got down on one knee and proposed, telling her he loved her. She said yes and he put the ring on her finger. She shoved it in someone's face to show them and said that she loved it and texted her mum. Their friends came over - chloe went to greet them while he paid for their shopping in cash. Then they walked out of the store talking about where they would go to celebrate. ",0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0
